record_id,complaint_num,pdf_filename,pdf_url,block_position,offense,date,location,lat,long,zone_id,zone_name,year,month,day,date_str
6086,21-7780,24_hour_summary_report_17dec021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/24_hour_summary_report_17dec021.pdf,1,VOOP ARREST,2021-12-16,123 MADISON ST.,41.8793279,-87.77910039999999,6,Zone 6,2021,12,16,2021-12-16
6087,21-7720,weekend_summary_report_10dec-13dec_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/weekend_summary_report_10dec-13dec_2021.pdf,4,CRIMINAL DAMAGE TO PROPERTY ARREST,2021-12-11,600 BLOCK OF S AUSTIN,41.8727683,-87.7744566,6,Zone 6,2021,12,11,2021-12-11
6088,21-4934,weekend_summary_report_16_aug_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/weekend_summary_report_16_aug_2021.pdf,1,BURGLARY,2021-08-13,600 BLOCK OF N. LOMBARD,41.8966092,-87.7797362,1,Zone 1,2021,8,13,2021-08-13
6089,21-4186,24_hour_summary_report_14_july_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/24_hour_summary_report_14_july_2021.pdf,5,CRIMINAL DAMAGE TO VEHICLE,2021-07-06,200 BLOCK OF N OAK PARK AVE.,41.89050880000001,-87.7940474,3,Zone 3,2021,7,6,2021-07-06
6090,21-4063,24_hour_summary_report_09_july_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/24_hour_summary_report_09_july_2021.pdf,3,CRIMINAL DAMAGE TO PROPERTY,2021-07-09,0-99 BLOCK OF GARFIELD,41.8705764,-87.7767885,7,Zone 7,2021,7,9,2021-07-09
6091,21-1484,24_hour_summary_report_30_mar_2021.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2021/24_hour_summary_report_30_mar_2021.pdf,4,RECOVERED STOLEN AUTO,2021-03-30,"1818 N MASON, CHICAGO",41.9135472,-87.7744776,,,2021,3,30,2021-03-30
6092,20-5151,weekend_summary_report_11-14_september_2020.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2020/weekend_summary_report_11-14_september_2020.pdf,11,BURGLARY,2020-02-13,1000 BLOCK OF N. AUSTIN,41.8984817,-87.7755202,1,Zone 1,2020,2,13,2020-02-13
6093,20-01529,24_hour_summary_report_25_mar_2020.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2020/24_hour_summary_report_25_mar_2020.pdf,0,MOTOR VEHICLE THEFT,2020-03-23,7100 BLOCK OF ROOSEVELT,41.8653467,-87.8022299,8,Zone 8,2020,3,23,2020-03-23
6094,19-6953,24_hour_summary_report_27_nov_2019.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2019/24_hour_summary_report_27_nov_2019.pdf,4,BATTERY ARREST (JUVENILE),2019-11-26,700 BLOCK N. HARLEM,41.8922268,-87.80541459999999,3,Zone 3,2019,11,26,2019-11-26
6095,19-6477,24_hour_summary_report_05_nov_2019.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2019/24_hour_summary_report_05_nov_2019.pdf,4,BURGLARY,2019-11-04,800 BLOCK OF HIGHLAND AVE.,41.874363,-87.781554,6,Zone 6,2019,11,4,2019-11-04
